 Óbitos infantis - Brasil
Óbitos p/Residênc por Município e Causas evitáveis - 0 a 4 anos
Período:1997
"Município";"1.1. Reduzível pelas ações de imunização";"1.2.1 Reduzíveis atenção à mulher na gestação";"1.2.2 Reduz por adequada atenção à mulher no parto";"1.2.3 Reduzíveis adequada atenção ao recém-nascido";"1.3. Reduz ações diagnóstico e tratamento adequado";"1.4. Reduz. ações promoção à saúde vinc. Aç. At";"2. Causas mal definidas";"3. Demais causas (não claramente evitáveis)";"Total"
"160015 PEDRA BRANCA DO AMAPARI";-;-;1;-;-;-;-;-;1
"160020 CALCOENE";-;-;-;-;1;-;-;-;1
"160021 CUTIAS";-;-;-;-;-;-;-;-;-
"160023 FERREIRA GOMES";-;-;1;-;-;-;-;-;1
"160025 ITAUBAL";-;-;-;1;-;-;-;-;1
"160027 LARANJAL DO JARI";-;-;1;2;1;-;-;3;7
"160030 MACAPA";-;59;45;89;15;19;5;53;285
"160040 MAZAGAO";-;1;-;2;-;1;-;1;5
"160050 OIAPOQUE";-;-;-;-;-;-;-;-;-
"160053 PORTO GRANDE";-;-;1;-;1;1;-;1;4
"160055 PRACUUBA";-;1;-;-;-;-;-;-;1
"160060 SANTANA";-;12;17;25;5;7;1;10;77
"160070 TARTARUGALZINHO";-;-;-;-;1;-;-;-;1
"160080 VITORIA DO JARI";-;-;-;-;-;-;-;-;-
" MUNICIPIO IGNORADO - TO";-;4;3;7;2;6;2;4;28
"170025 ABREULANDIA";-;-;-;-;-;-;-;-;-
"170030 AGUIARNOPOLIS";-;-;-;-;-;-;-;-;-
"170035 ALIANCA DO TOCANTINS";-;-;1;-;-;1;-;1;3
"170040 ALMAS";-;-;-;1;1;-;-;-;2
"170070 ALVORADA";-;-;-;-;-;-;1;1;2
"170100 ANANAS";-;2;1;1;1;-;1;1;7
"170105 ANGICO";-;-;-;-;-;-;-;-;-
"170110 APARECIDA DO RIO NEGRO";-;-;-;-;-;-;-;-;-
"170130 ARAGOMINAS";-;1;1;-;-;-;-;-;2
"170190 ARAGUACEMA";-;-;-;-;-;-;-;1;1
"170200 ARAGUACU";-;-;-;1;-;2;1;1;5
"170210 ARAGUAINA";1;18;11;14;6;12;10;17;89
"170215 ARAGUANA";-;-;-;1;-;3;-;-;4
"170220 ARAGUATINS";-;5;1;2;-;3;-;3;14
"170230 ARAPOEMA";-;1;-;-;3;2;-;1;7
"170240 ARRAIAS";-;2;-;-;1;2;-;1;6
"170255 AUGUSTINOPOLIS";-;1;3;1;3;1;1;3;13
"170270 AURORA DO TOCANTINS";-;-;-;-;-;-;1;-;1
"170290 AXIXA DO TOCANTINS";-;-;1;-;-;-;-;-;1
"170300 BABACULANDIA";-;-;-;-;1;-;-;-;1
"170305 BANDEIRANTES DO TOCANTINS";-;-;-;-;-;-;-;-;-
"170307 BARRA DO OURO";-;-;-;-;-;-;-;-;-
"170310 BARROLANDIA";-;-;-;1;-;-;-;-;1
"170320 BERNARDO SAYAO";-;-;-;-;-;-;-;-;-
"170330 BOM JESUS DO TOCANTINS";-;-;-;-;-;-;-;-;-
"170360 BRASILANDIA DO TOCANTINS";-;-;1;-;-;-;-;-;1
"170370 BREJINHO DE NAZARE";-;-;2;-;-;1;-;-;3
"170380 BURITI DO TOCANTINS";-;-;-;-;-;1;-;-;1
"170382 CACHOEIRINHA";-;-;-;-;-;-;-;1;1
"170384 CAMPOS LINDOS";-;-;-;-;-;-;-;-;-
"170386 CARIRI DO TOCANTINS";-;-;-;-;-;-;-;1;1
"170388 CARMOLANDIA";-;-;1;-;-;-;-;-;1
"170389 CARRASCO BONITO";-;-;-;1;-;-;-;-;1
"170390 CASEARA";-;-;-;-;-;-;-;-;-
"170410 CENTENARIO";-;-;-;-;-;-;-;-;-
"170460 CHAPADA DE AREIA";-;-;1;-;-;-;-;-;1
"170510 CHAPADA DA NATIVIDADE";-;-;-;-;-;-;-;-;-
"170550 COLINAS DO TOCANTINS";-;5;2;4;5;3;2;2;23
"170555 COMBINADO";-;1;-;-;-;-;-;-;1
"170560 CONCEICAO DO TOCANTINS";-;-;-;-;-;-;1;-;1
"170600 COUTO MAGALHAES";-;-;-;-;-;-;-;-;-
"170610 CRISTALANDIA";-;-;-;-;-;-;-;1;1
"170625 CRIXAS DO TOCANTINS";-;-;-;-;-;-;-;-;-
"170650 DARCINOPOLIS";-;-;-;-;-;-;-;-;-
"170700 DIANOPOLIS";-;-;-;-;2;1;-;3;6
"170710 DIVINOPOLIS DO TOCANTINS";-;1;-;-;-;-;-;-;1
"170720 DOIS IRMAOS DO TOCANTINS";-;-;-;-;-;-;-;-;-
"170730 DUERE";-;1;-;-;-;-;-;1;2
"170740 ESPERANTINA";-;-;-;-;-;1;-;2;3
"170755 FATIMA";-;-;-;-;-;-;-;-;-
"170765 FIGUEIROPOLIS";-;-;-;1;-;-;-;-;1
"170770 FILADELFIA";-;-;-;1;-;-;-;-;1
"170820 FORMOSO DO ARAGUAIA";-;-;-;2;1;3;-;-;6
"170825 FORTALEZA DO TABOCAO";-;-;-;-;-;-;-;1;1
"170830 GOIANORTE";-;-;-;-;-;-;-;1;1
"170900 GOIATINS";-;1;-;-;1;-;1;-;3
"170930 GUARAI";-;1;-;1;1;2;1;1;7
"170950 GURUPI";-;3;1;14;7;2;7;6;40
"170980 IPUEIRAS";-;-;-;-;-;-;-;-;-
"171050 ITACAJA";-;1;-;-;-;-;-;1;2
"171070 ITAGUATINS";-;-;-;1;-;-;1;-;2
"171090 ITAPIRATINS";-;-;-;-;-;-;-;-;-
"171110 ITAPORA DO TOCANTINS";-;1;-;-;-;-;-;-;1
"171150 JAU DO TOCANTINS";-;-;-;-;-;-;-;-;-
"171180 JUARINA";-;-;-;-;-;-;-;-;-
"171190 LAGOA DA CONFUSAO";-;-;-;-;-;-;-;-;-
"171195 LAGOA DO TOCANTINS";-;-;-;-;-;-;-;-;-
"171200 LAJEADO";-;-;-;-;-;-;-;-;-
"171215 LAVANDEIRA";-;-;-;-;-;-;-;-;-
"171240 LIZARDA";-;-;-;-;-;-;-;-;-
"171245 LUZINOPOLIS";-;-;-;-;1;-;-;-;1
"171250 MARIANOPOLIS DO TOCANTINS";-;-;-;-;-;1;-;-;1
"171270 MATEIROS";-;-;-;-;-;-;-;-;-
"171280 MAURILANDIA DO TOCANTINS";-;-;-;1;-;-;-;-;1
"171320 MIRACEMA DO TOCANTINS";-;-;-;-;1;-;-;1;2
"171330 MIRANORTE";-;-;-;1;-;-;-;1;2
"171360 MONTE DO CARMO";-;2;2;-;-;1;-;-;5
"171370 MONTE SANTO DO TOCANTINS";-;-;-;-;-;-;-;-;-
"171380 PALMEIRAS DO TOCANTINS";-;-;-;-;-;1;-;-;1
"171395 MURICILANDIA";-;-;-;-;1;1;-;-;2
"171420 NATIVIDADE";-;-;1;-;-;1;-;1;3
"171430 NAZARE";-;-;-;2;-;-;-;-;2
"171488 NOVA OLINDA";-;1;-;2;-;-;-;3;6
"171500 NOVA ROSALANDIA";-;-;-;-;-;1;-;-;1
"171510 NOVO ACORDO";-;-;-;-;1;-;-;-;1
"171515 NOVO ALEGRE";-;-;-;-;-;-;-;-;-
"171525 NOVO JARDIM";-;-;-;-;1;-;-;-;1
"171550 OLIVEIRA DE FATIMA";-;-;-;-;-;-;-;-;-
"171570 PALMEIRANTE";-;1;-;1;-;-;-;-;2
"171575 PALMEIROPOLIS";-;-;-;-;1;-;1;1;3
"171610 PARAISO DO TOCANTINS";-;-;1;4;3;-;1;-;9
"171620 PARANA";-;-;-;-;-;1;-;-;1
"171630 PAU D'ARCO";-;1;-;-;-;1;-;-;2
"171650 PEDRO AFONSO";-;-;-;-;-;-;-;-;-
"171660 PEIXE";-;-;-;-;-;-;-;1;1
"171665 PEQUIZEIRO";-;-;-;1;-;1;-;-;2
"171670 COLMEIA";-;-;-;-;1;-;2;-;3
"171700 PINDORAMA DO TOCANTINS";-;-;-;-;-;-;-;-;-
"171720 PIRAQUE";-;1;-;-;-;-;-;-;1
"171750 PIUM";-;-;-;-;1;-;-;1;2
"171780 PONTE ALTA DO BOM JESUS";-;-;-;-;-;-;-;-;-
"171790 PONTE ALTA DO TOCANTINS";-;-;-;-;1;1;-;-;2
"171800 PORTO ALEGRE DO TOCANTINS";-;-;-;-;-;-;-;-;-
"171820 PORTO NACIONAL";-;7;4;8;3;6;2;10;40
"171830 PRAIA NORTE";-;-;-;-;-;-;-;-;-
"171840 PRESIDENTE KENNEDY";-;-;-;-;1;-;-;-;1
"171845 PUGMIL";-;-;-;-;-;-;-;-;-
"171850 RECURSOLANDIA";-;-;-;-;1;-;-;-;1
"171855 RIACHINHO";-;-;-;-;-;-;1;-;1
"171865 RIO DA CONCEICAO";-;-;-;-;-;-;-;-;-
"171870 RIO DOS BOIS";-;-;-;-;-;-;-;-;-
"171875 RIO SONO";-;-;-;-;-;1;-;-;1
"171880 SAMPAIO";-;-;1;-;-;-;-;-;1
"171884 SANDOLANDIA";-;-;-;-;-;-;-;-;-
"171886 SANTA FE DO ARAGUAIA";-;3;-;-;-;-;-;-;3
"171888 SANTA MARIA DO TOCANTINS";-;-;-;-;-;-;-;-;-
"171889 SANTA RITA DO TOCANTINS";-;-;-;-;-;-;-;-;-
"171890 SANTA ROSA DO TOCANTINS";-;1;-;-;-;-;-;-;1
"171900 SANTA TEREZA DO TOCANTINS";-;-;-;-;-;-;-;-;-
"172000 SANTA TEREZINHA DO TOCANTINS";-;-;-;-;-;-;-;-;-
"172010 SAO BENTO DO TOCANTINS";-;-;-;2;-;-;-;-;2
"172015 SAO FELIX DO TOCANTINS";-;-;-;-;-;-;-;-;-
"172020 SAO MIGUEL DO TOCANTINS";-;-;-;-;-;-;-;-;-
"172025 SAO SALVADOR DO TOCANTINS";-;-;-;-;-;-;-;-;-
"172030 SAO SEBASTIAO DO TOCANTINS";-;2;-;-;-;-;-;-;2
"172049 SAO VALERIO";-;-;-;2;1;-;-;-;3
"172065 SILVANOPOLIS";-;-;-;-;-;-;-;-;-
"172080 SITIO NOVO DO TOCANTINS";-;-;-;-;-;-;-;-;-
"172085 SUCUPIRA";-;-;-;-;-;-;-;-;-
"172090 TAGUATINGA";-;-;-;-;-;-;-;1;1
"172093 TAIPAS DO TOCANTINS";-;-;-;-;-;-;-;-;-
"172097 TALISMA";-;-;-;-;-;-;-;-;-
"172100 PALMAS";-;13;5;13;4;12;5;18;70
"172110 TOCANTINIA";-;-;-;1;1;1;-;-;3
"172120 TOCANTINOPOLIS";-;2;2;7;1;1;2;4;19
"172125 TUPIRAMA";-;-;-;-;1;-;-;-;1
"172130 TUPIRATINS";-;-;-;-;-;-;-;-;-
"172208 WANDERLANDIA";-;3;1;-;-;1;-;2;7
"172210 XAMBIOA";-;5;-;-;-;2;-;1;8
" MUNICIPIO IGNORADO - MA";-;23;14;15;4;-;6;23;85
"210005 ACAILANDIA";-;3;1;3;6;5;14;4;36
"210010 AFONSO CUNHA";-;-;-;-;-;-;-;-;-
"210015 AGUA DOCE DO MARANHAO";-;-;-;-;-;-;-;-;-
"210020 ALCANTARA";-;-;-;-;-;-;-;-;-
"210030 ALDEIAS ALTAS";-;-;-;-;-;-;-;-;-
"210040 ALTAMIRA DO MARANHAO";-;-;-;-;-;-;-;-;-
"210043 ALTO ALEGRE DO MARANHAO";-;-;-;-;-;-;-;-;-
"210047 ALTO ALEGRE DO PINDARE";-;-;-;-;-;-;-;-;-
"210050 ALTO PARNAIBA";-;-;-;-;-;-;-;-;-
"210055 AMAPA DO MARANHAO";-;-;-;-;-;-;-;-;-
"210060 AMARANTE DO MARANHAO";-;-;-;-;-;-;-;-;-
"210070 ANAJATUBA";-;-;-;-;-;1;-;-;1
"210080 ANAPURUS";-;-;-;-;-;-;2;-;2
"210083 APICUM-ACU";-;-;-;-;-;-;-;-;-
"210087 ARAGUANA";-;-;-;-;-;-;-;-;-
"210090 ARAIOSES";-;1;-;-;-;-;-;-;1
"210095 ARAME";-;-;-;-;-;-;-;1;1
"210100 ARARI";-;-;-;-;1;1;1;-;3
"210110 AXIXA";-;-;-;-;-;-;-;-;-
"210120 BACABAL";-;1;-;2;2;2;8;3;18
"210125 BACABEIRA";-;-;-;-;-;-;-;1;1
"210130 BACURI";-;-;-;-;-;-;-;-;-
"210135 BACURITUBA";-;-;-;-;-;-;-;-;-
"210140 BALSAS";-;-;-;-;1;-;-;1;2
"210150 BARAO DE GRAJAU";-;-;-;-;-;-;-;-;-
"210160 BARRA DO CORDA";-;3;-;3;6;4;2;2;20
"210170 BARREIRINHAS";-;-;-;-;-;1;1;-;2
"210173 BELAGUA";-;-;-;-;-;-;1;-;1
"210177 BELA VISTA DO MARANHAO";-;-;-;-;-;-;-;-;-
"210180 BENEDITO LEITE";-;-;-;-;-;-;-;-;-
"210190 BEQUIMAO";-;1;-;-;-;-;-;1;2
"210193 BERNARDO DO MEARIM";-;-;-;-;-;-;-;-;-
"210197 BOA VISTA DO GURUPI";-;-;-;-;-;-;-;-;-
"210200 BOM JARDIM";-;-;-;-;-;-;-;-;-
"210203 BOM JESUS DAS SELVAS";-;-;-;-;-;-;-;-;-
"210207 BOM LUGAR";-;-;-;-;-;-;1;-;1
"210210 BREJO";-;-;-;-;-;-;3;-;3
"210215 BREJO DE AREIA";-;-;-;-;-;-;-;-;-
"210220 BURITI";-;-;-;-;-;-;12;-;12
"210230 BURITI BRAVO";-;-;1;-;-;-;2;2;5
"210232 BURITICUPU";-;-;-;-;-;-;-;-;-
"210235 BURITIRANA";-;-;-;-;-;-;-;-;-
"210237 CACHOEIRA GRANDE";-;-;-;-;-;-;-;-;-
"210240 CAJAPIO";-;-;-;-;-;-;-;-;-
"210250 CAJARI";-;-;-;-;-;-;-;-;-
"210255 CAMPESTRE DO MARANHAO";-;-;-;-;-;-;-;-;-
"210260 CANDIDO MENDES";-;-;-;-;-;-;5;-;5
"210270 CANTANHEDE";-;-;-;-;-;1;1;1;3
"210275 CAPINZAL DO NORTE";-;-;-;-;-;-;2;-;2
"210280 CAROLINA";-;-;-;1;-;-;-;-;1
"210290 CARUTAPERA";-;-;-;-;-;-;-;-;-
"210300 CAXIAS";-;12;16;32;7;6;10;21;104
"210310 CEDRAL";-;-;-;-;-;-;-;-;-
"210312 CENTRAL DO MARANHAO";-;-;-;-;-;1;-;-;1
"210315 CENTRO DO GUILHERME";-;-;-;-;-;-;-;-;-
"210317 CENTRO NOVO DO MARANHAO";-;-;-;-;-;-;-;-;-
"210320 CHAPADINHA";-;-;-;-;-;-;2;-;2
"210325 CIDELANDIA";-;-;-;-;-;-;2;-;2
"210330 CODO";-;3;12;9;3;12;1;8;48
"210340 COELHO NETO";-;-;-;-;-;-;-;-;-
"210350 COLINAS";-;-;-;-;-;1;-;1;2
"210355 CONCEICAO DO LAGO-ACU";-;-;-;-;-;-;-;-;-
"210360 COROATA";-;-;-;1;1;3;3;2;10
"210370 CURURUPU";-;1;2;-;-;-;6;-;9
"210375 DAVINOPOLIS";-;-;-;-;-;1;-;-;1
"210380 DOM PEDRO";-;-;-;-;-;-;-;-;-
"210390 DUQUE BACELAR";-;-;-;-;-;-;-;-;-
"210400 ESPERANTINOPOLIS";-;-;-;-;1;-;-;-;1
"210405 ESTREITO";-;-;-;1;-;-;-;1;2
"210407 FEIRA NOVA DO MARANHAO";-;-;-;-;-;-;-;-;-
"210408 FERNANDO FALCAO";-;-;-;-;-;-;-;-;-
"210409 FORMOSA DA SERRA NEGRA";-;-;-;-;-;-;-;-;-
"210410 FORTALEZA DOS NOGUEIRAS";-;-;-;-;-;-;-;-;-
"210420 FORTUNA";-;-;-;-;-;-;-;-;-
"210430 GODOFREDO VIANA";-;-;-;-;-;-;1;-;1
"210440 GONCALVES DIAS";-;-;-;-;-;-;-;-;-
"210450 GOVERNADOR ARCHER";-;-;-;-;-;-;-;-;-
"210455 GOVERNADOR EDISON LOBAO";-;-;-;-;-;-;-;-;-
"210460 GOVERNADOR EUGENIO BARROS";-;-;-;-;-;-;-;-;-
"210462 GOVERNADOR LUIZ ROCHA";-;-;-;1;-;-;2;-;3
"210465 GOVERNADOR NEWTON BELLO";-;-;-;-;-;-;-;-;-
"210467 GOVERNADOR NUNES FREIRE";-;-;-;-;-;-;-;-;-
"210470 GRACA ARANHA";-;-;-;-;-;-;-;-;-
"210480 GRAJAU";-;-;-;1;-;-;3;-;4
"210490 GUIMARAES";-;-;-;-;-;-;-;-;-
"210500 HUMBERTO DE CAMPOS";-;-;-;-;-;-;-;-;-
"210510 ICATU";-;-;-;-;-;-;-;-;-
"210515 IGARAPE DO MEIO";-;-;-;-;-;-;-;-;-
"210520 IGARAPE GRANDE";-;-;-;1;1;2;8;-;12
"210530 IMPERATRIZ";-;2;-;1;-;2;2;3;10
"210535 ITAIPAVA DO GRAJAU";-;-;-;-;-;-;4;-;4
"210540 ITAPECURU MIRIM";-;1;2;-;1;3;7;-;14
"210542 ITINGA DO MARANHAO";-;-;-;-;-;1;-;-;1
"210545 JATOBA";-;-;-;-;-;-;-;-;-
"210547 JENIPAPO DOS VIEIRAS";-;-;-;-;-;-;-;-;-
"210550 JOAO LISBOA";-;-;-;-;-;-;-;1;1
"210560 JOSELANDIA";-;-;-;1;-;-;-;-;1
"210565 JUNCO DO MARANHAO";-;-;-;-;-;-;-;-;-
"210570 LAGO DA PEDRA";-;-;-;-;-;-;-;-;-
"210580 LAGO DO JUNCO";-;-;-;-;-;-;-;-;-
"210590 LAGO VERDE";-;-;-;-;-;-;-;-;-
"210592 LAGOA DO MATO";-;-;-;-;-;-;-;-;-
"210594 LAGO DOS RODRIGUES";-;-;-;-;-;-;1;-;1
"210596 LAGOA GRANDE DO MARANHAO";-;-;-;-;-;-;-;-;-
"210598 LAJEADO NOVO";-;-;-;-;-;-;-;-;-
"210600 LIMA CAMPOS";-;-;-;-;-;-;1;-;1
"210610 LORETO";-;-;-;-;-;-;-;-;-
"210620 LUIS DOMINGUES";-;-;-;-;-;-;-;-;-
"210630 MAGALHAES DE ALMEIDA";-;-;-;2;-;2;2;-;6
"210632 MARACACUME";-;-;-;-;-;-;-;-;-
"210635 MARAJA DO SENA";-;-;-;-;-;-;-;-;-
"210637 MARANHAOZINHO";-;-;-;-;-;-;-;-;-
"210640 MATA ROMA";-;-;-;-;1;-;3;-;4
"210650 MATINHA";-;-;-;-;-;-;3;-;3
"210660 MATOES";-;-;-;1;-;-;-;1;2
"210663 MATOES DO NORTE";-;-;-;-;-;-;-;-;-
"210667 MILAGRES DO MARANHAO";-;-;-;-;-;-;-;-;-
"210670 MIRADOR";-;-;-;-;-;1;-;-;1
"210675 MIRANDA DO NORTE";-;1;1;2;1;1;-;-;6
"210680 MIRINZAL";-;-;-;-;-;-;4;-;4
"210690 MONCAO";-;-;-;-;-;-;-;-;-
"210700 MONTES ALTOS";-;-;-;-;-;-;-;-;-
"210710 MORROS";-;-;-;-;-;-;-;-;-
"210720 NINA RODRIGUES";-;-;1;-;-;1;-;-;2
"210725 NOVA COLINAS";-;-;-;-;-;-;-;-;-
"210730 NOVA IORQUE";-;-;-;-;-;-;-;-;-
"210735 NOVA OLINDA DO MARANHAO";-;-;-;-;-;-;2;-;2
"210740 OLHO D'AGUA DAS CUNHAS";-;-;1;-;-;-;4;-;5
"210745 OLINDA NOVA DO MARANHAO";-;-;-;-;-;-;-;-;-
"210750 PACO DO LUMIAR";-;1;-;4;2;1;-;2;10
"210760 PALMEIRANDIA";-;-;-;-;-;-;1;-;1
"210770 PARAIBANO";-;-;-;-;-;-;-;-;-
"210780 PARNARAMA";-;-;-;-;-;-;-;-;-
"210790 PASSAGEM FRANCA";-;-;-;-;-;-;-;-;-
"210800 PASTOS BONS";-;-;-;-;1;2;-;-;3
"210805 PAULINO NEVES";-;-;-;-;-;-;1;-;1
"210810 PAULO RAMOS";-;1;-;-;-;-;-;1;2
"210820 PEDREIRAS";-;-;-;3;-;3;1;-;7
"210825 PEDRO DO ROSARIO";-;-;-;-;-;-;-;-;-
"210830 PENALVA";-;-;-;-;-;-;-;-;-
"210840 PERI MIRIM";-;-;-;-;-;-;-;-;-
"210845 PERITORO";-;-;-;-;-;-;-;-;-
"210850 PINDARE-MIRIM";-;-;-;-;-;1;-;-;1
"210860 PINHEIRO";-;9;1;5;-;-;3;2;20
"210870 PIO XII";-;-;-;2;-;-;4;1;7
"210880 PIRAPEMAS";-;-;-;-;-;-;5;-;5
"210890 POCAO DE PEDRAS";-;-;-;-;-;-;-;-;-
"210900 PORTO FRANCO";-;-;-;-;-;-;-;1;1
"210905 PORTO RICO DO MARANHAO";-;-;-;-;-;-;-;-;-
"210910 PRESIDENTE DUTRA";-;-;-;-;-;-;-;-;-
"210920 PRESIDENTE JUSCELINO";-;-;-;-;-;-;-;-;-
"210923 PRESIDENTE MEDICI";-;-;-;-;-;-;-;-;-
"210927 PRESIDENTE SARNEY";-;-;-;-;-;-;-;-;-
"210930 PRESIDENTE VARGAS";-;-;-;-;-;-;-;-;-
"210940 PRIMEIRA CRUZ";-;-;-;-;-;-;-;-;-
"210945 RAPOSA";-;-;1;1;-;1;-;1;4
"210950 RIACHAO";-;-;-;-;-;1;-;-;1
"210955 RIBAMAR FIQUENE";-;-;-;-;-;-;-;-;-
"210960 ROSARIO";-;1;1;-;-;2;1;1;6
"210970 SAMBAIBA";-;-;-;-;-;-;-;-;-
"210975 SANTA FILOMENA DO MARANHAO";-;-;-;-;-;-;-;-;-
"210980 SANTA HELENA";-;-;-;-;-;1;1;-;2
"210990 SANTA INES";-;1;-;1;-;-;9;1;12
"211000 SANTA LUZIA";-;-;-;-;1;-;-;-;1
"211003 SANTA LUZIA DO PARUA";-;-;-;-;-;-;-;-;-
"211010 SANTA QUITERIA DO MARANHAO";-;-;-;-;1;-;-;-;1
"211020 SANTA RITA";-;-;-;-;-;-;4;1;5
"211023 SANTANA DO MARANHAO";-;-;-;-;-;-;3;-;3
"211027 SANTO AMARO DO MARANHAO";-;-;-;-;-;-;-;-;-
"211030 SANTO ANTONIO DOS LOPES";-;-;-;-;-;-;-;-;-
"211040 SAO BENEDITO DO RIO PRETO";-;-;-;-;-;-;2;-;2
"211050 SAO BENTO";-;-;-;-;-;-;2;1;3
"211060 SAO BERNARDO";-;-;1;1;-;-;4;-;6
"211065 SAO DOMINGOS DO AZEITAO";-;-;-;-;-;-;-;-;-
"211070 SAO DOMINGOS DO MARANHAO";-;2;-;1;-;-;5;-;8
"211080 SAO FELIX DE BALSAS";-;-;-;-;-;-;-;-;-
"211085 SAO FRANCISCO DO BREJAO";-;-;-;-;-;-;2;-;2
"211090 SAO FRANCISCO DO MARANHAO";-;-;-;-;-;-;-;-;-
"211100 SAO JOAO BATISTA";-;-;-;-;-;-;1;1;2
"211102 SAO JOAO DO CARU";-;-;-;-;-;-;-;-;-
"211105 SAO JOAO DO PARAISO";-;-;-;-;-;-;3;-;3
"211107 SAO JOAO DO SOTER";-;-;-;-;-;-;-;-;-
"211110 SAO JOAO DOS PATOS";-;-;-;-;-;-;1;-;1
"211120 SAO JOSE DE RIBAMAR";-;-;4;3;-;2;1;1;11
"211125 SAO JOSE DOS BASILIOS";-;-;-;-;-;-;1;-;1
"211130 SAO LUIS";-;104;63;126;37;40;12;122;504
"211140 SAO LUIS GONZAGA DO MARANHAO";-;-;-;-;-;-;-;-;-
"211150 SAO MATEUS DO MARANHAO";-;1;-;-;1;-;13;-;15
"211153 SAO PEDRO DA AGUA BRANCA";-;-;-;-;-;-;1;-;1
"211157 SAO PEDRO DOS CRENTES";-;-;-;-;-;-;-;-;-
"211160 SAO RAIMUNDO DAS MANGABEIRAS";-;1;-;-;-;-;-;-;1
"211163 SAO RAIMUNDO DO DOCA BEZERRA";-;-;-;-;-;-;-;-;-
"211167 SAO ROBERTO";-;-;-;-;-;-;-;-;-
"211170 SAO VICENTE FERRER";-;-;1;-;-;-;-;1;2
"211172 SATUBINHA";-;-;-;-;-;-;-;-;-
"211174 SENADOR ALEXANDRE COSTA";-;-;-;-;-;-;2;-;2
"211176 SENADOR LA ROCQUE";-;-;-;-;-;-;-;-;-
"211178 SERRANO DO MARANHAO";-;-;-;-;-;-;-;-;-
"211180 SITIO NOVO";-;-;-;-;-;-;-;1;1
"211190 SUCUPIRA DO NORTE";-;-;-;-;-;-;-;-;-
"211195 SUCUPIRA DO RIACHAO";-;-;-;-;-;-;-;-;-
"211200 TASSO FRAGOSO";-;-;-;-;-;-;-;-;-
"211210 TIMBIRAS";-;1;1;-;1;-;-;1;4
"211220 TIMON";-;3;4;14;-;1;9;12;43
"211223 TRIZIDELA DO VALE";-;-;-;-;-;-;3;-;3
"211227 TUFILANDIA";-;-;-;-;-;-;-;-;-
"211230 TUNTUM";-;-;-;-;-;-;-;-;-
"211240 TURIACU";-;-;-;-;-;-;-;1;1
"211245 TURILANDIA";-;-;-;-;-;-;-;-;-
"211250 TUTOIA";-;-;-;-;-;-;2;-;2
"211260 URBANO SANTOS";-;-;-;-;-;-;-;1;1
"211270 VARGEM GRANDE";-;-;-;1;-;-;11;2;14
"211280 VIANA";-;-;-;-;-;-;1;-;1
"211285 VILA NOVA DOS MARTIRIOS";-;-;-;-;-;-;-;-;-
"211290 VITORIA DO MEARIM";-;-;2;1;-;-;5;-;8
"211300 VITORINO FREIRE";-;-;-;-;-;-;-;-;-
"211400 ZE DOCA";-;-;-;-;-;1;-;-;1
" MUNICIPIO IGNORADO - PI";-;8;3;8;3;5;1;3;31
"220005 ACAUA";-;-;-;-;-;-;-;-;-
"220010 AGRICOLANDIA";-;-;-;-;-;-;-;-;-
"220020 AGUA BRANCA";-;1;-;1;-;-;1;-;3
"220025 ALAGOINHA DO PIAUI";-;-;-;-;-;-;-;-;-
"220027 ALEGRETE DO PIAUI";-;-;-;-;-;-;-;-;-
"220030 ALTO LONGA";-;-;-;-;-;-;-;-;-
"220040 ALTOS";-;2;2;2;-;-;-;1;7
"220045 ALVORADA DO GURGUEIA";-;-;-;-;-;-;-;-;-
"220050 AMARANTE";-;-;-;-;-;-;8;-;8
"220060 ANGICAL DO PIAUI";-;-;-;-;-;-;-;-;-
"220070 ANISIO DE ABREU";-;-;-;-;-;-;-;-;-
"220080 ANTONIO ALMEIDA";-;-;-;-;-;-;-;-;-
"220090 AROAZES";-;-;-;-;-;-;-;-;-
"220095 AROEIRAS DO ITAIM";-;-;-;-;-;-;-;-;-
"220100 ARRAIAL";-;-;-;-;-;-;4;-;4
"220105 ASSUNCAO DO PIAUI";-;-;-;-;-;-;-;-;-
"220110 AVELINO LOPES";-;-;-;-;-;-;-;-;-
"220115 BAIXA GRANDE DO RIBEIRO";-;-;1;-;-;-;-;-;1
"220117 BARRA D'ALCANTARA";-;-;-;-;-;-;-;-;-
"220120 BARRAS";-;7;2;5;4;2;9;6;35
"220130 BARREIRAS DO PIAUI";-;-;-;1;-;-;-;-;1
"220140 BARRO DURO";-;-;1;-;-;-;-;-;1
"220150 BATALHA";-;-;7;1;1;1;2;2;14
"220155 BELA VISTA DO PIAUI";-;-;-;-;-;-;-;-;-
"220157 BELEM DO PIAUI";-;-;-;-;-;-;-;-;-
"220160 BENEDITINOS";-;-;-;-;-;-;-;-;-
"220170 BERTOLINIA";-;-;-;-;-;-;-;-;-
"220173 BETANIA DO PIAUI";-;-;-;-;-;-;-;-;-
"220177 BOA HORA";-;-;-;-;-;1;-;-;1
"220180 BOCAINA";-;-;-;-;-;-;-;-;-
"220190 BOM JESUS";-;-;-;-;-;-;-;-;-
"220191 BOM PRINCIPIO DO PIAUI";-;-;-;-;-;-;-;-;-
"220192 BONFIM DO PIAUI";-;-;-;-;-;-;-;-;-
"220194 BOQUEIRAO DO PIAUI";-;-;-;-;-;-;-;-;-
"220196 BRASILEIRA";-;1;-;1;-;-;-;1;3
